"","date","case","DeepLearningRt","EpiEstimRt","EpiNow2Rt","KalmanRt","DeepLearningIt","EpiEstimIt","EpiNow2It","EmsembleRt","EmsembleIt"
"119",2020-06-27,160,0.86847436,0.872351851,0.900846820913511,0.73874932,208.43359375,160,171.2215,0.880557677304504,179.88503125
"120",2020-06-28,178,0.8684646,0.860596036,0.890074536798033,0.847587271,205.70703125,178,166.808,0.873045057599344,183.505010416667
"121",2020-06-29,257,0.86845577,0.797902119,0.882455656587883,0.829931691,203.015625,257,161.275,0.849604515195961,207.096875
"122",2020-06-30,157,0.868448,0.776347357,0.878626593726529,0.735696844,200.35546875,157,180.3855,0.841140650242176,179.246989583333
"123",2020-07-01,0,0.8684411,0.881830424,0.879085711936091,0.898362323,197.73828125,0,168.307,0.876452411978697,122.01509375
"124",2020-07-02,302,0.86843514,0.788047374,0.884186004586694,0.894389253,195.1484375,302,159.9775,0.846889506195565,219.041979166667
"125",2020-07-03,165,0.86842966,0.759047832,0.894129340501942,0.764395188,192.59765625,165,153.597,0.840535610833981,170.39821875
"126",2020-07-04,121,0.8684249,0.777278932,0.908960222619807,0.76287423,190.07421875,121,144.279,0.851554684873269,151.78440625
"127",2020-07-05,138,0.86842084,0.781223441,0.928558453875446,0.947155535,187.5859375,138,136.937,0.859400911625149,154.1743125
"128",2020-07-06,154,0.868417,0.761178493,0.952632280715812,0.74660142,185.14453125,154,129.894,0.860742591238604,156.346177083333
"129",2020-07-07,112,0.8684137,0.773388397,0.980715961469084,0.713834423,182.7109375,112,145.2555,0.874172686156361,146.655479166667
"130",2020-07-08,118,0.8684108,0.773573376,1.01217736802415,0.790864192,180.32421875,118,134.938,0.884720514674716,144.420739583333
"131",2020-07-09,170,0.8684082,0.735657146,1.04624113574637,0.782077144,177.96484375,170,130.7425,0.883435493915456,159.569114583333
"132",2020-07-10,116,0.86840606,0.74629727,1.08203036490243,0.770861269,175.640625,116,126.9575,0.898911231634145,139.532708333333
"133",2020-07-11,130,0.8684039,0.796131597,1.11862520637399,0.809700466,173.34375,130,121.959,0.927720234457997,141.767583333333
"134",2020-07-12,129,0.86840224,0.847310805,1.15513126176748,0.822918022,171.07421875,129,120.751,0.956948102255827,140.275072916667
"135",2020-07-13,116,0.8684006,0.885096701,1.19074677827336,0.762976367,168.8359375,116,120.239,0.981414693091122,135.024979166667
"136",2020-07-14,111,0.8683994,0.997569537,1.22481698152629,0.763325345,166.6328125,111,139.52,1.0302619728421,139.0509375
"137",2020-07-15,102,0.86839795,1.084089921,1.25686693786376,0.756566072,164.44140625,102,138.0055,1.06978493628792,134.815635416667
